career,skills
Product Designer,accessibility | communication | html/css | stakeholder management | data analysis | motion design | design sprints | a/b testing | ux research | ui design | user flows | user journey mapping | competitive analysis | figma | sketch
Data Analyst,data cleaning | looker | power bi | r | google sheets | excel | storytelling with data | power query | business acumen | pandas | etl | data visualization | dax | python | pivot tables | sql | communication | statistics
Scrum Master,safe framework | coaching | servant leadership | retrospectives | team building | facilitation | agile | velocity tracking | reporting | leadership | impediment removal | jira | conflict resolution | sprint planning | kanban | burn-down charts | risk management
Machine Learning Engineer,model evaluation | pytorch | python | linux | deep learning | spark | scikit-learn | statistics | machine learning | kubernetes | mlops | git | data pipelines | tensorflow | pandas | rest api | feature engineering | cloud
Research Scientist (AI),experimentation | collaboration | python | benchmarking | distributed training | nlp | computer vision | deep learning | literature review | statistics | research | mathematics | tensorflow | reproducibility | reinforcement learning | data analysis
Network Engineer,firewalls | wireshark | network security | qos | bgp | cloud networking | linux | python | mpls | networking | cisco | vpn | network automation | switching | dns | tcp/ip | routing protocols
Site Reliability Engineer (SRE),monitoring | networking | kubernetes | incident management | on-call | docker | git | bash | chaos engineering | prometheus | postmortem analysis | runbooks | cloud | distributed systems | capacity planning | automation
CTO,metrics | product strategy | cloud | regulatory compliance | technical leadership | team building | strategic planning | r&d management | system architecture | innovation | mergers & acquisitions | stakeholder management | agile | vendor management | recruitment | engineering culture
iOS Developer,testflight | xcode | in-app purchase | push notifications | combine | swift | app store deployment | git | alamofire | arkit | rest api | uikit | core data | testing | swiftui | core location | avfoundation | concurrency
Flutter Developer,git | app store deployment | flavors | ci/cd | firebase | bloc pattern | clean architecture | riverpod | responsive layouts | push notifications | rest api | state management | dart | sqlite | testing | ui/ux design | animations | flutter
Data Scientist,python | machine learning | data cleaning | data visualization | statistics | sql | hypothesis testing | big data | model deployment | seaborn | r | pandas | numpy | deep learning | jupyter notebook
Site Reliability Engineer,distributed systems | chaos engineering | prometheus | slo/sla | capacity planning | linux | incident management | git | bash | python | monitoring | grafana | cloud | docker | on-call practices | postmortem | runbooks | kubernetes
AI Safety Engineer,mathematics | stakeholder engagement | policy understanding | interpretability | risk assessment | testing | alignment research | reinforcement learning | deep learning | research | python | safety engineering | red teaming | documentation | machine learning
Network Engineer,dns | networking | cisco | load balancing | sd-wan | qos | network security | wireshark | python | routing protocols | network automation | cloud networking | switching | vpn | linux | firewalls | bgp | tcp/ip
AWS Solutions Architect,cloud architecture | aws | networking | disaster recovery | docker | linux | well-architected framework | migration | kubernetes | rds | ecs/eks | s3 | high availability | cloudformation | security
Cybersecurity Analyst,security auditing | forensics | penetration testing | vulnerability assessment | incident response | networking | python | cryptography | security fundamentals | ids/ips | linux | risk assessment | malware analysis | owasp | compliance | log analysis | cloud security
Fullstack Developer,rest api | sql | docker | javascript | css | cloud | node.js | git | redis | typescript | html | testing | ci/cd | mongodb | next.js | websockets | linux
